Coding Scheme 1 = Absolute
Coding Scheme 2 = Vowel-centric (L-R)
Coding Scheme 3 = Vowel-centric (R-L)
Coding Scheme 4 = Ends-first
Coding Scheme 5 = SOLAR (Spatial Coding)
Coding Scheme 6 = Binary Open Bigram
Coding Scheme 7 = Overlap Open Bigram (OOB)
Coding Scheme 8 = SERIOL_2001 (Open Bigram)


ILW = 1
sigma = 1.25
c = 1.00
Stim1   	Stim2   	Match1	Match2	Match3	Match4	Match5	Match6	Match7	Match8	
osso    	hueso   	 0.00	 0.50	 0.50	 0.50	 0.50	 0.25	 0.33	 0.05	
fingir  	fingir  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.96	 1.00	
lingua  	lengua  	 0.83	 0.83	 0.83	 0.83	 0.88	 0.67	 0.64	 0.59	
revista 	revista 	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
oficina 	taller  	 0.00	 0.00	 0.00	 0.00	 0.11	 0.00	 0.00	 0.00	
vizinho 	vecino  	 0.43	 0.57	 0.43	 0.29	 0.67	 0.31	 0.23	 0.41	
empregado	empleado	 0.44	 0.67	 0.67	 0.67	 0.82	 0.48	 0.54	 0.69	
caso    	asunto  	 0.00	 0.50	 0.25	 0.25	 0.66	 0.17	 0.27	 0.33	
injuria 	injuria 	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
final   	finalizando	 1.00	 1.00	 0.60	 0.60	 0.86	 1.00	 1.03	 1.00	
tela    	pantalla	 0.00	 0.25	 0.50	 0.50	 0.67	 0.50	 0.43	 0.21	
noivado 	compromiso	 0.14	 0.14	 0.14	 0.29	 0.44	 0.07	 0.09	 0.10	
comprometimento	compromiso	 0.47	 0.40	 0.40	 0.20	 0.64	 0.43	 0.43	 0.56	
carpete 	carpeta 	 0.86	 0.86	 0.86	 0.86	 0.78	 0.86	 0.74	 0.89	
bomba   	bomba   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.94	 1.00	
salsa   	salsa   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.86	 1.00	
atual   	actual  	 0.20	 0.60	 1.00	 0.60	 1.00	 0.89	 0.85	 0.78	
almas   	almas   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.94	 1.00	
abacate 	aguacate	 0.14	 0.57	 0.57	 0.57	 0.89	 0.73	 0.57	 0.54	
balcao  	balcon  	 0.67	 0.67	 0.33	 0.67	 0.75	 0.75	 0.67	 0.84	
bife    	carne   	 0.00	 0.25	 0.25	 0.25	 0.33	 0.00	 0.00	 0.00	
brando  	blando  	 0.83	 0.83	 0.83	 0.83	 0.88	 0.67	 0.64	 0.59	
brando  	blando  	 0.83	 0.83	 0.83	 0.83	 0.88	 0.67	 0.64	 0.59	
candor  	candor  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
cargo   	cargo   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
comodidade	comodidad	 0.90	 0.90	 0.90	 0.40	 0.83	 0.88	 0.66	 0.78	
compreensivo	comprensivo	 0.50	 0.67	 0.67	 0.67	 0.93	 0.96	 0.94	 0.99	
construir	construir	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.98	 1.00	
doce/doze	doce    	 0.44	 0.44	 0.33	 0.33	 0.55	 0.33	 0.40	 0.48	
convidar	invitar 	 0.00	 0.62	 0.62	 0.25	 0.60	 0.39	 0.41	 0.19	
exito   	exito   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
fabrica 	fabrica 	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
fila    	fila    	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
gripe   	gripe   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
excitado	excitado	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
debil   	debil   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
intencao	intencion	 0.88	 0.88	 0.88	 0.50	 0.80	 0.78	 0.72	 0.84	
ar      	aire    	 0.50	 1.00	 1.00	 0.50	 0.75	 1.00	 0.60	 0.61	
adulto  	adulto  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
agenda  	agenda  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
agente  	agente  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.96	 1.00	
alarme  	alarma  	 0.83	 0.83	 0.83	 0.83	 0.75	 0.73	 0.67	 0.75	
alcool  	alcohol 	 0.67	 0.83	 0.67	 0.83	 1.00	 0.89	 0.79	 1.06	
altar   	altar   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.94	 1.00	
area    	area    	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.92	 1.00	
artista 	artista 	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.93	 1.00	
atmosfera	atmosfera	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
atencao 	atencion	 0.86	 0.86	 0.43	 0.57	 0.78	 0.73	 0.70	 0.85	
banana  	banana  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.53	 1.00	
base    	base    	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
blusa   	blusa   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
cabine  	cabina  	 0.83	 0.83	 0.83	 0.83	 0.75	 0.75	 0.79	 0.71	
cabo    	cable   	 0.75	 0.75	 0.50	 0.50	 0.67	 0.50	 0.63	 0.59	
cafe    	cafe    	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
cafeteria	cafeteria	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.92	 1.00	
canal   	canal   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.83	 1.00	
cancer  	cancer  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.96	 1.00	
capital 	capital 	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
carbono 	carbon  	 0.86	 0.86	 0.86	 0.43	 0.78	 0.86	 0.74	 0.89	
centro  	centro  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
cheque  	cheque  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.96	 1.00	
chocolate	chocolate	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.89	 1.00	
classe  	clase   	 0.67	 0.83	 0.83	 0.83	 0.87	 0.89	 0.84	 0.88	
clube   	club    	 0.80	 0.80	 0.80	 0.40	 0.71	 0.67	 0.73	 0.66	
costa   	costa   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
cor     	color   	 0.67	 0.67	 0.67	 1.00	 1.00	 0.67	 0.85	 0.78	
combustao	combustion	 0.89	 0.89	 0.89	 0.44	 0.82	 0.81	 0.78	 0.84	
companhia	compania	 0.67	 0.89	 0.56	 0.67	 0.91	 0.76	 0.78	 0.81	
concerto	concierto	 0.50	 0.75	 0.75	 1.00	 1.00	 0.83	 0.86	 1.04	
conclusao	conclusion	 0.89	 0.89	 0.89	 0.44	 0.82	 0.81	 0.75	 0.84	
condutor	conductor	 0.62	 0.75	 0.75	 0.88	 1.00	 0.83	 0.89	 0.94	
confusao	confusion	 0.88	 0.88	 0.50	 0.50	 0.80	 0.78	 0.75	 0.82	
construcao	construccion	 0.80	 0.80	 0.80	 0.30	 0.83	 0.78	 0.80	 0.87	
continente	continente	 1.00	 1.00	 1.00	 0.90	 1.00	 1.00	 0.85	 1.00	
controle	control 	 0.88	 0.88	 0.88	 0.50	 0.80	 0.83	 0.85	 0.76	
crise   	crisis  	 0.80	 0.80	 0.80	 0.60	 0.71	 0.67	 0.76	 0.72	
cultura 	cultura 	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.97	 1.00	
debate  	debate  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
decisao 	decision	 0.86	 0.86	 0.57	 0.57	 0.78	 0.73	 0.73	 0.84	
dimensao	dimension	 0.88	 0.88	 0.50	 0.50	 0.80	 0.78	 0.75	 0.85	
direcao 	direccion	 0.71	 0.86	 0.71	 0.57	 0.78	 0.67	 0.70	 0.77	
diretor 	director	 0.57	 0.71	 1.00	 1.00	 1.00	 0.80	 0.88	 0.97	
desastre	desastre	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.91	 1.00	
disco   	disco   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
distancia	distancia	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
divisao 	division	 0.86	 0.86	 0.57	 0.57	 0.78	 0.69	 0.62	 0.82	
doutor  	doctor  	 0.83	 0.50	 0.83	 0.83	 0.88	 0.58	 0.54	 0.75	
dragao  	dragon  	 0.67	 0.67	 0.50	 0.67	 0.75	 0.80	 0.66	 0.86	
drama   	drama   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.83	 1.00	
editorial	editorial	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
elefante	elefante	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.91	 1.00	
enigma  	enigma  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
excursao	excursion	 0.88	 0.88	 0.88	 0.50	 0.80	 0.78	 0.75	 0.85	
explosao	explosion	 0.88	 0.88	 0.88	 0.50	 0.80	 0.78	 0.75	 0.83	
expulsao	expulsion	 0.88	 0.88	 0.88	 0.50	 0.80	 0.78	 0.75	 0.85	
extensao	extension	 0.88	 0.88	 0.88	 0.50	 0.80	 0.78	 0.71	 0.85	
exterior	exterior	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.94	 1.00	
fator   	factor  	 0.40	 0.60	 1.00	 0.80	 1.00	 0.78	 0.81	 0.93	
familia 	familia 	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.85	 1.00	
festival	festival	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
final   	final   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
formula 	formula 	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
funeral 	funeral 	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
galaxia 	galaxia 	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.85	 1.00	
general 	general 	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.89	 1.00	
genese  	genesis 	 0.83	 0.83	 0.67	 0.50	 0.75	 0.88	 0.58	 0.95	
multiplo	multiple	 0.88	 0.88	 0.88	 0.88	 0.80	 0.83	 0.85	 0.76	
musica  	musica  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
musical 	musical 	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
nostalgia	nostalgia	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
objeto  	objeto  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
observatorio	observatorio	 1.00	 0.92	 0.92	 0.75	 1.00	 1.00	 0.98	 1.01	
ocasiao 	ocasion 	 0.71	 0.71	 0.43	 0.71	 0.78	 0.80	 0.69	 0.88	
oceano  	oceano  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
opera   	opera   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
oportunidade	oportunidad	 0.92	 0.83	 0.83	 0.33	 0.86	 0.93	 0.79	 0.84	
original	original	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.91	 1.00	
palacio 	palacio 	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.89	 1.00	
panico  	panico  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
panorama	panorama	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.91	 1.00	
paraiso 	paraiso 	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.89	 1.00	
parque  	parque  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
parte   	parte   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
pastor  	pastor  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
