English,Part_of_Speech,Is_Cognate_EN_PT,Is_Cognate_EN_SP,Is_Cognate_PT_SP,Is_False_Cognate_EN_PT,Is_False_Cognate_EN_SP,Is_False_Cognate_PT_SP,Similar_Word_PT,Similar_Word_SP,Translation_PT,Translation_SP,Comments,Similar_No_Accents_PT,Similar_No_Accents_SP,SOLAR_PT_EN,SOLAR_SP_EN,SOLAR_PT_SP,total_freq,freq_per_million.x,wl,coca_total_freq,coca_freq_per_million,freq,PT_freq_per_million,SP_freq_per_million,OLD20
physician,noun,no,no,yes,yes,yes,no,médico,médico,médico,médico,NA,medico,medico,0.25,0.25,1,516,5.749908658912253,9,4,0.00964385699039603,82611,94.83339565139423,93.21428571,3.45
tractor,noun,yes,yes,yes,no,no,no,trator,tractor,trator,tractor,NA,trator,tractor,0.9,1,0.9,456,5.081314628806179,7,9,0.021698678228391065,3210,3.684923315792999,3.928571429,2.1
nursery,noun,no,no,no,no,no,no,berçário,guardería,berçário,guardería,NA,bercario,guarderia,NA,NA,NA,1548,17.249725976736762,7,NA,NA,1703,1.9549608743911142,2.321428571,2.7
insect,noun,yes,yes,yes,no,no,no,inseto,insecto,inseto,insecto,NA,inseto,insecto,0.72,0.78,0.93,746,8.312852440985544,6,4,0.00964385699039603,4746,5.4481763416677795,5.535714286,1.7
potato,noun,maybe,maybe,yes,no,no,no,batata,patata,batata,patata,NA,batata,patata,0.28,0.53,0.75,718,8.00084189360271,6,6,0.014465785485594044,8222,9.438454673660448,5.892857143,2.5
talent,noun,yes,yes,yes,no,no,no,talento,talento,talento,talento,NA,talento,talento,0.78,0.78,1,2048,22.821342894287394,6,14208,34.254980029886696,10754,12.345067083500908,28.75,1.95
weapon,noun,no,no,yes,no,no,no,arma,arma,arma,arma,Note that English also has arms which is a cognate,arma,arma,NA,NA,1,1889,21.049568714506293,6,NA,NA,21924,25.167681861509564,34.82142857,2.45
academy,noun,yes,yes,yes,no,no,no,academia,academia,academia,academia,NA,academia,academia,0.7,0.7,1,1372,15.288516821758938,7,NA,NA,8754,10.049164706059786,11.07142857,3.15
lecture,noun,yes,yes,yes,yes,yes,no,leitura,lectura,palestra,conferencia,NA,leitura,lectura,0.67,0.78,0.89,1596,17.784601200821623,7,159,0.3833433153682421,118548,136.08731752044497,56.25,2.15
fantasy,noun,yes,yes,yes,no,no,no,fantasia,fantasía,fantasia,fantasía,Note extra meaning of costume in Portuguese which doesn't exist in Spanish or English,fantasia,fantasia,0.7,0.7,1,1284,14.307912244270026,7,7976,19.229850838849682,10206,11.71598983208204,25.71428571,2.95
holiday,noun,no,no,no,no,no,no,feriado,vacaciones,feriado,vacaciones,NA,feriado,vacaciones,NA,NA,NA,6764,75.37283366062498,7,14323,34.532240918360586,6864,7.879536959377927,37.14285714,2.85
camera,noun,yes,yes,yes,no,no,no,câmera,cámara,câmera,cámara,NA,camera,camara,1,0.78,0.78,2452,27.323209363668305,6,36439,87.85312621826023,10138,11.637929151249041,39.82142857,2.1
ladder,noun,no,no,yes,no,no,no,escada,escalera,escada,escalera,NA,escada,escalera,NA,NA,0.78,1176,13.10444299007909,6,NA,NA,4989,5.727128480526876,38.21428571,1.7
author,noun,yes,yes,yes,no,no,no,autor,autor,autor,autor,NA,autor,autor,0.92,0.92,1,4295,47.86018932175994,6,48038,115.81790052616113,179658,206.23861466315844,82.85714286,2.4
reader,noun,no,no,yes,no,no,no,leitor,lector,leitor,lector,NA,leitor,lector,NA,NA,0.88,4036,44.97409175846872,6,15358,37.027588914625554,54472,62.53119715198636,46.42857143,1.7
tourist,noun,yes,yes,yes,no,no,no,turista,turista,turista,turista,NA,turista,turista,0.75,0.75,1,1936,21.57330070475605,7,NA,NA,6917,7.940378372380116,5.178571429,2.55
emperor,noun,yes,yes,yes,no,no,no,imperador,emperador,imperador,emperador,NA,imperador,emperador,0.51,0.69,0.82,2116,23.57908279507428,7,2837,6.839905570438384,6746,7.744078719108901,16.96428571,2.9
restaurant,noun,yes,yes,yes,no,no,no,restaurante,restaurante,restaurante,restaurante,NA,restaurante,restaurante,0.85,0.85,1,3364,37.48583862128066,10,25672,61.89427416436172,17665,20.2785577487487,25.71428571,3.75
entrepreneur,noun,yes,yes,yes,no,no,no,empreendedor,emprendedor,empreendedor,emprendedor,NA,empreendedor,emprendedor,0.52,0.59,0.8,283,3.1535351753336585,12,2515,6.063575082711504,8244,9.4637095998123,1.785714286,5.65
guitar,noun,no,yes,no,yes,yes,yes,violão,guitarra,violão,guitarra,NA,violao,guitarra,0.22,0.7,0.22,2653,29.56299936452366,6,NA,NA,4691,5.3850390262881485,12.85714286,2.8
mirror,noun,no,no,yes,no,no,no,espelho,espejo,espelho,espejo,NA,espelho,espejo,NA,NA,0.75,3705,41.285681359050194,6,17096,41.21784477695263,11059,12.695192196060678,65.71428571,2.5
corn,noun,no,no,no,no,no,no,milho,naiz,milho,maíz,NA,milho,naiz,NA,NA,NA,1062,11.834114332877544,4,14344,34.58287116756016,55854,64.11766569479818,NA,1.2
meat,noun,no,no,no,no,no,no,carne,carne,carne,carne,NA,carne,carne,NA,NA,NA,3177,35.402053894116726,4,19516,47.05237825614223,40801,46.837556450987584,86.07142857,1.05
fish,noun,no,no,no,no,no,no,peixe,pez,peixe,pez,NA,peixe,pez,NA,NA,NA,10145,113.04810725710234,4,43087,103.88121653629844,11378,13.061388625262536,15.53571429,1.75
bird,noun,no,no,yes,no,no,no,pássaro,pájaro,pássaro,pájaro,NA,passaro,pajaro,NA,NA,0.72,3706,41.29682459288529,4,19428,46.84021340235351,2363,2.7126086589466842,20.71428571,1.75
butter,noun,no,no,yes,no,no,no,manteiga,mantequilla,manteiga,mantequilla,NA,manteiga,mantequilla,NA,NA,0.73,1866,20.793274336298964,6,15629,37.68096022572488,3618,4.153287400790988,6.25,1.3
candle,noun,no,no,yes,no,no,no,vela,vela,vela,vela,NA,vela,vela,NA,NA,1,773,8.61371975453328,6,25,0.06027410618997518,3235,3.713622095511013,14.82142857,1.9
beer,noun,no,no,yes,no,no,no,cerveja,cerveza,cerveja,cerveza,NA,cerveja,cerveza,NA,NA,0.89,3112,34.677743694835144,4,17803,42.92239650000513,8325,9.556693646098665,26.78571429,1.3
meal,noun,no,no,no,no,no,no,refeição,comida,refeição,comida,NA,refeicao,comida,NA,NA,NA,3833,42.71201528994315,4,13286,32.032070993600406,5480,6.290772514188671,61.25,1.15
knee,noun,no,no,no,no,no,no,joelho,rodilla,joelho,rodilla,NA,joelho,rodilla,NA,NA,NA,1888,21.038425480671194,4,12221,29.46439406990747,8747,10.041129047738742,9.285714286,1.8
bone,noun,no,no,no,no,no,no,osso,hueso,osso,hueso,NA,osso,hueso,NA,NA,NA,2267,25.261711104174573,4,14236,34.32248702881947,12846,14.746580970304318,15.17857143,1.1
finger,noun,no,no,no,yes,yes,no,fingir,fingir,dedo,dedo,NA,fingir,fingir,0.88,0.88,NA,2946,32.827966878208336,6,16648,40.137732794028274,1383,1.587616494000535,7.857142857,1.6
tongue,noun,no,no,yes,no,no,no,língua,lengua,língua,lengua,NA,lingua,lengua,NA,NA,0.88,2349,26.175456278652874,6,81,0.1952881040555196,91067,104.54047090321528,101.7857143,2.2
magazine,noun,no,no,yes,no,no,no,revista,revista,revista,revista,NA,revista,revista,NA,NA,1,4456,49.65424996921124,8,32506,78.37080383245333,63846,73.2920915950529,64.82142857,2.95
workshop,noun,no,no,no,no,no,no,oficina,taller,oficina,taller,but oficina also exists in SP,oficina,taller,NA,NA,NA,1727,19.24436483321989,8,6,0.014465785485594044,8649,9.928629831244127,17.32142857,3.35
neighbor,noun,no,no,yes,no,no,no,vizinho,vecino,vizinho,vecino,NA,vizinho,vecino,NA,NA,0.64,11,0.12257557218611394,8,115,0.27726088847388586,9584,11.001964192697852,33.03571429,3.65
employee,noun,no,no,yes,no,no,no,empregado,empleado,empregado,empleado,NA,empregado,empleado,NA,NA,0.74,2949,32.861396579713634,8,12136,29.259462108861552,24510,28.136283635540938,23.57142857,2.55
affair,noun,no,no,no,no,no,no,caso,asunto,caso,asunto,NA,caso,asunto,NA,NA,NA,3212,35.79206707834527,6,13,0.0313425352187871,481338,552.5525292763771,111.7857143,2.55
injury,noun,no,no,no,no,no,no,injúria,injuria,ferida,herida,NA,injuria,injuria,NA,NA,NA,4474,49.854828178243075,6,14187,34.20434978068712,3026,3.4737002970684157,1.071428571,2.55
ending,noun,no,no,yes,no,no,yes,final,finalizando,final,finalizando,NA,final,finalizando,NA,NA,0.86,2279,25.395429910195787,6,NA,NA,314049,360.5129228665033,NA,1.6
screen,noun,no,no,no,no,no,no,tela,pantalla,tela,pantalla,NA,tela,pantalla,NA,NA,NA,4749,52.91921748289592,6,27651,66.66557241036016,28610,32.842883509295234,44.28571429,1.95
engagement,noun,no,no,no,no,no,no,noivado,compromiso,noivado,compromiso,NA,noivado,compromiso,NA,NA,NA,1191,13.271591497605609,10,7399,17.838724467985056,714,0.8196371487464801,32.67857143,3.25
commitment,noun,no,no,yes,no,no,yes,comprometimento,compromiso,compromisso,compromiso,NA,comprometimento,compromiso,NA,NA,0.55,5374,59.88373862983421,10,20223,48.75692997919472,22950,26.34547978113686,32.67857143,3.25
carpet,noun,Yes,No,No,No,Yes,No,carpete,carpeta,carpete,alfombra,NA,carpete,carpeta,0.78,0.78,0.78,2090,23.289358715361644,6,87,0.20975388954111363,958,1.099737238794297,6.785714286,1.9
bomb,noun,No,No,Yes,Yes,Yes,no,bomba,bomba,bomba,bomba,NA,bomba,bomba,0.71,0.71,1,2835,31.591067922512096,4,12198,29.40894189221269,15243,17.498219969667502,26.25,1.7
salsa,noun,No,Yes,No,Yes,No,Yes,salsa,salsa,molho,salsa,The dance meaning is the same in all three languages,salsa,salsa,1,1,1,15,0.167148507526519,5,36,0.08679471291356426,1082,1.2420831861956463,7.321428571,NA
actual,adjective,No,No,Yes,Yes,Yes,no,atual,actual,real,real,NA,atual,actual,0.96,1,0.96,5690,63.40500052172621,6,22302,53.76932464995306,152274,174.80311931123464,129.1071429,2.45
alms,noun,No,No,No,Yes,Yes,No,almas,almas,esmola,limosna,NA,almas,almas,0.82,0.82,1,84,0.9360316421485064,4,256,0.6172068473853459,6100,7.002502251195418,NA,1.7
avocado,noun,No,No,Yes,No,No,No,abacate ,aguacate ,abacate,aguacate,NA,abacate ,aguacate ,0.36,0.35,NA,88,0.9806045774889115,7,NA,NA,NA,NA,NA,3.25
balcony,noun,No,Yes,No,Yes,No,Yes,balcão,balcón,sacada,balcón,NA,balcao,balcon,0.72,0.88,0.72,911,10.151486023777254,7,NA,NA,3955,4.540146951389816,26.60714286,2.8
