Stim1   	Stim2   	Match1	Match2	Match3	Match4	Match5	Match6	Match7	Match8	
vecino  	vecino  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
empleado	empleado	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
asunto  	asunto  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
injuria 	injuria 	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
finalizando	finalizando	 1.00	 1.00	 1.00	 0.82	 1.00	 1.00	 0.93	 1.01	
pantalla	pantalla	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.76	 1.00	
compromiso	compromiso	 1.00	 1.00	 1.00	 0.90	 1.00	 1.00	 1.00	 1.00	
compromiso	compromiso	 1.00	 1.00	 1.00	 0.90	 1.00	 1.00	 1.00	 1.00	
carpeta 	carpeta 	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
bomba   	bomba   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.94	 1.00	
salsa   	salsa   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.86	 1.00	
atual   	atual   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.94	 1.00	
almas   	almas   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.94	 1.00	
aguacate	aguacate	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.88	 1.00	
balcón  	balcon  	 0.83	 0.67	 0.50	 0.83	 0.88	 0.67	 0.64	 0.81	
carne   	carne   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
blando  	blando  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
blando  	blando  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
candor  	candor  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
cargo   	cargo   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
comodidad	comodidad	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.75	 1.00	
comprensivo	comprensivo	 1.00	 0.91	 0.91	 0.82	 1.00	 1.00	 1.00	 1.01	
construir	construir	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.98	 1.00	
doce    	doce    	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
invitar 	invitar 	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.97	 1.00	
éxito   	exito   	 0.80	 0.00	 0.20	 0.80	 0.71	 0.67	 0.73	 0.26	
fábrica 	fabrica 	 0.86	 0.14	 0.14	 0.86	 0.89	 0.73	 0.70	 0.64	
fila    	fila    	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
gripe   	gripe   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
excitado	excitado	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
débil   	debil   	 0.80	 0.20	 0.20	 0.80	 0.86	 0.56	 0.54	 0.54	
intención	intencion	 0.89	 0.67	 0.67	 0.89	 0.91	 0.80	 0.74	 0.84	
aire    	aire    	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
adulto  	adulto  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
agenda  	agenda  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
agente  	agente  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.96	 1.00	
alarma  	alarma  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.82	 1.00	
alcohol 	alcohol 	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.85	 1.00	
altar   	altar   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.94	 1.00	
área    	area    	 0.75	 0.00	 0.00	 0.75	 0.67	 0.50	 0.65	 0.21	
artista 	artista 	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.93	 1.00	
atmósfera	atmosfera	 0.89	 0.33	 0.33	 0.89	 0.91	 0.71	 0.74	 0.86	
atención	atencion	 0.88	 0.75	 0.75	 0.88	 0.90	 0.78	 0.75	 0.83	
banana  	banana  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.53	 1.00	
base    	base    	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
blusa   	blusa   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
cabina  	cabina  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
cable   	cable   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
café    	cafe    	 0.75	 0.75	 0.50	 0.75	 0.67	 0.50	 0.63	 0.59	
cafetería	cafeteria	 0.89	 0.78	 0.44	 0.89	 0.91	 0.79	 0.70	 0.83	
canal   	canal   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.83	 1.00	
cáncer  	cancer  	 0.83	 0.17	 0.17	 0.83	 0.88	 0.67	 0.59	 0.57	
capital 	capital 	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
carbón  	carbon  	 0.83	 0.67	 0.50	 0.83	 0.88	 0.67	 0.64	 0.81	
centro  	centro  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
cheque  	cheque  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.96	 1.00	
chocolate	chocolate	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.89	 1.00	
clase   	clase   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
club    	club    	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
costa   	costa   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
color   	color   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.83	 1.00	
combustión	combustion	 0.90	 0.70	 0.70	 0.80	 0.92	 0.83	 0.81	 0.87	
compañía	compania	 0.75	 0.62	 0.38	 0.75	 0.80	 0.56	 0.56	 0.68	
concierto	concierto	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.98	 1.00	
conclusión	conclusion	 0.90	 0.70	 0.70	 0.80	 0.92	 0.83	 0.78	 0.86	
conductor	conductor	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
