English	Part_of_speech	Cognate Eng-Port	Cognate_Eng-Span	Cognate_Port-Spanish	False_Cognate_En-PT	False_Cognate_En-Spanish	False_cognate Port-Span	Similar_word_in_Portuguese	Similar_word_in_Spanish	Translation_in_Portuguese	Translation_in_Spanish	Comments
beef	noun	No	No	yes	Yes	Yes	no	bife	carne	bife	carne	
brand	noun	No	No	yes	Yes	No	no	brando	blando	marca	marca	
bland	adjective	No	No	yes	No	Yes	no	brando	blando	brando	blando	
candor	noun	Yes	Yes	Yes	No	No	No	candor	candor	candor	candor	
cargo	noun	No	No	Yes	Yes	Yes	No	cargo	cargo	carga	carga	
commodity	noun	No	No	Yes	Yes	Yes	No	comodidade	comodidad	mercadoria	mercancía	
comprehensive	adjective	No	No	no	Yes	Yes	no	compreensivo	comprensivo	abrangente	completo	
construe	verb	No	No	Yes	Yes	Yes	No	construir	construir	interpretar	interpretar	
doze	noun	No	No	No	Yes	Yes	Yes	doce/doze	doce	cochilar	dormitar	
invite	verb	No	Yes	No	No	No	No	convidar	invitar	convidar	invitar	
exit	noun	No	No	Yes	Yes	Yes	No	êxito	éxito	saída	salida	
fabric	noun	No	No	Yes	Yes	Yes	No	fábrica	fábrica	fábrica	fábrica	
file	noun	No	No	yes	Yes	Yes	no	fila	fila	arquivo	archivo	
grip	noun	No	No	yes	Yes	Yes	no	gripe	gripe	aperto	agarre	
excited	adjective	No	No	no	Yes	Yes	no	excitado	excitado	animado	emocionado	
devil	noun	No	No	Yes	Yes	No	No	débil	débil	diabo	diablo	
intent	noun	No	No	yes	Yes	Yes	no	intenção	intención	intenção	inención	
air	noun	yes	yes	yes	no	no	no	ar	aire	ar	aire	
adult	noun	yes	yes	yes	no	no	no	adulto	adulto	adulto	adulto	
agenda	noun	yes	yes	yes	no	no	no	agenda	agenda	agenda	agenda	
agent	noun	yes	yes	yes	no	no	no	agente	agente	agente	agente	
alarm	noun	yes	yes	yes	no	no	no	alarme	alarma	alarme	alarma	
alcohol	noun	yes	yes	yes	no	no	no	álcool	alcohol	álcool	alcohol	
altar	noun	yes	yes	yes	no	no	no	altar	altar	altar	altar	
area	noun	yes	yes	yes	no	no	no	área	área	área	área	
artist	noun	yes	yes	yes	no	no	no	artista	artista	artista	artista	
atmosphere	noun	yes	yes	yes	no	no	no	atmosfera	atmósfera	atmosfera	atmósfera	
attention	noun	yes	yes	yes	no	no	no	atenção	atención	atenção	atención	
banana	noun	yes	yes	yes	no	no	no	banana	banana	banana	banana	
base	noun	yes	yes	yes	no	no	no	base	base	base	base	
blouse	noun	yes	yes	yes	no	no	no	blusa	blusa	blusa	blusa	
cabin	noun	yes	yes	yes	no	no	no	cabine	cabina	cabine	cabina	
cable	noun	yes	yes	yes	no	no	no	cabo	cable	cabo	cable	
cafe	noun	yes	yes	yes	no	no	no	café	café	café	café	
cafeteria	noun	yes	yes	yes	no	no	no	cafeteria	cafetería	cafeteria	cafetería	
canal	noun	yes	yes	yes	no	no	no	canal	canal	canal	canal	
cancer	noun	yes	yes	yes	no	no	no	câncer	cáncer	câncer	cáncer	
capital	noun	yes	yes	yes	no	no	no	capital	capital	capital	capital	
carbon	noun	yes	yes	yes	no	no	no	carbono	carbón	carbono	carbón	
center	noun	yes	yes	yes	no	no	no	centro	centro	centro	centro	
cheque	noun	yes	yes	yes	no	no	no	cheque	cheque	cheque	cheque	
chocolate	noun	yes	yes	yes	no	no	no	chocolate	chocolate	chocolate	chocolate	
class	noun	yes	yes	yes	no	no	no	classe	clase	classe	clase	
club	noun	yes	yes	yes	no	no	no	clube	club	clube	club	
coast	noun	yes	yes	yes	no	no	no	costa	costa	costa	costa	
color	noun	yes	yes	yes	no	no	no	cor	color	cor	color	
combustion	noun	yes	yes	yes	no	no	no	combustão	combustión	combustão	combustión	
company	noun	yes	yes	yes	no	no	no	companhia	compañía	companhia	compañía	
concert	noun	yes	yes	yes	no	no	no	concerto	concierto	concerto	concierto	
conclusion	noun	yes	yes	yes	no	no	no	conclusão	conclusión	conclusão	conclusión	
conductor	noun	yes	yes	yes	no	no	no	condutor	conductor	condutor	conductor	
confusion	noun	yes	yes	yes	no	no	no	confusão	confusión	confusão	confusión	
construction	noun	yes	yes	yes	no	no	no	construção	construcción	construção	construcción	
continent	noun	yes	yes	yes	no	no	no	continente	continente	continente	continente	
control	noun	yes	yes	yes	no	no	no	controle 	control	controle	control 	
crisis	noun	yes	yes	yes	no	no	no	crise	crisis	crise 	crisis	
culture	noun	yes	yes	yes	no	no	no	cultura	cultura	cultura	cultura	
debate	noun	yes	yes	yes	no	no	no	debate	debate	debate	debate	
decision	noun	yes	yes	yes	no	no	no	decisão	decisión	decisão	decisión 	
dimension	noun	yes	yes	yes	no	no	no	dimensão	dimensión	dimensão	dimensión 	
direction	noun	yes	yes	yes	no	no	no	direção	dirección	direção	dirección 	
director	noun	yes	yes	yes	no	no	no	diretor	director	diretor	director	
disaster	noun	yes	yes	yes	no	no	no	desastre 	desastre	desastre	desastre	
disco	noun	yes	yes	yes	no	no	no	disco	disco	disco	disco	There is also disk, which shares the other meanings of disco in Spanish and Portuguese
distance	noun	yes	yes	yes	no	no	no	distância	distancia	distância 	distancia 	
division	noun	yes	yes	yes	no	no	no	divisão	división	divisão	división	
doctor	noun	yes	yes	yes	no	no	no	doutor	doctor	doutor	doctor	
dragon	noun	yes	yes	yes	no	no	no	dragão	dragón	dragão	dragón 	
drama	noun	yes	yes	yes	no	no	no 	drama	drama	drama	drama 	
editorial	noun	yes	yes	yes	no	no	no	editorial	editorial	editorial	editorial 	
elephant	noun	yes	yes	yes	no	no	no	elefante	elefante	elefante	elefante 	
enigma	noun	yes	yes	yes	no	no	no	enigma	enigma	enigma	enigma	
excursion	noun	yes	yes	yes	no	no	no	excursão	excursión	excursão	excursión	
explosion	noun	yes	yes	yes	no	no	no	explosão 	explosión	explosão	explosión 	
expulsion	noun	yes	yes	yes	no	no	no	expulsão	expulsión	expulsão	expulsión 	
extension	noun	yes	yes	yes	no	no	no	extensão	extensión	extensão	extensión 	
exterior	noun	yes	yes	yes	no	no	no	exterior	exterior	exterior	exterior	
factor	noun	yes	yes	yes	no	no	no	fator	factor	fator 	factor	
family	noun	yes	yes	yes	no	no	no	família	familia	família	familia 	
festival	noun	yes	yes	yes	no	no	no	festival	festival	festival	festival 	
final	adjective	yes	yes	yes	no	no	no	final	final	final	final	
formula	noun	yes	yes	yes	no	no	no	fórmula	formula	fórmula	formula	
funeral	noun	yes	yes	yes	no	no	no	funeral	funeral	funeral	funeral 	
galaxy	noun	yes	yes	yes	no	no	no	galáxia	galaxia	galáxia	galaxia	
general	noun/adjective	yes	yes	yes	no	no	no	general	general	general	general	
genesis	noun	yes	yes	yes	no	no	no	gênese	génesis	gênese	génesis	
multiple	adjective	yes	yes	yes	no	no	no	múltiplo	múltiple	múltiplo	múltiple 	
music	noun	yes	yes	yes	no	no	no	música	música	música	música	
musical	noun/adjective	yes	yes	yes	no	no	no	musical	musical	musical	musical	
nostalgia	noun	yes	yes	yes	no	no	no	nostalgia	nostalgia	nostalgia	nostalgia	
object	noun	yes	yes	yes	no	no	no	objeto	objeto	objeto	objeto	
observatory	noun	yes	yes	yes	no	no	no	observatório	observatorio	observatório	observatorio 	
occasion	noun	yes	yes	yes	no	no	no	ocasião	ocasión	ocasião	ocasión 	
ocean	noun	yes	yes	yes	no	no	no	oceano	océano	oceano	océano 	
opera	noun	yes	yes	yes	no	no	no	ópera	ópera	ópera	ópera	
opportunity	noun	yes	yes	yes	no	no	no	oportunidade	oportunidad	oportunidade	oportunidad	
original	noun	yes	yes	yes	no	no	no	original	original	original	original 	
palace	noun	yes	yes	yes	no	no	no	palácio	palacio	palácio	palacio	
panic	noun	yes	yes	yes	no	no	no	pânico	pánico	pânico	pánico 	
panorama	noun	yes	yes	yes	no	no	no	panorama	panorama	panorama	panorama	
paradise	noun	yes	yes	yes	no	no	no	paraíso	paraíso	paraíso	paraíso	
park	noun	yes	yes	yes	no	no	no	parque	parque	parque	parque	
part	noun	yes	yes	yes	no	no	no	parte	parte	parte	parte	
pastor	noun	yes	yes	yes	no	no	no	pastor	pastor	pastor	pastor	
patience	noun	yes	yes	yes	no	no	no	paciência	paciencia	paciência	paciencia 	
patio	noun	yes	yes	yes	no	no	no	pátio	patio	pátio	patio	
perfume	noun	yes	yes	yes	no	no	no	perfume	perfume	perfume	perfume	
photo	noun	yes	yes	yes	no	no	no	foto	foto	foto	foto	
planet	noun	yes	yes	yes	no	no	no	planeta	planeta	planeta	planeta	
plan	noun	yes	yes	yes	no	no	no	plano	plan	plano	plan	
plant	noun	yes	yes	yes	no	no	no	planta	planta	planta	planta	
plaza	noun	yes	yes	yes	no	no	no	praça	plaza	praça	plaza	
pretension	noun	yes	yes	yes	no	no	no	pretensão	pretensión	pretensão	pretensión 	
propaganda	noun	yes	yes	yes	no	no	no	propaganda	propaganda	propaganda	propaganda 	In Portuguese and LatAm Spanish, it can also mean advertising
