English	Part_of_speech	Cognate Eng-Port	Cognate_Eng-Span	Cognate_Port-Spanish	False_Cognate_En-PT	False_Cognate_En-Spanish	False_cognate Port-Span	Similar_word_in_Portuguese	Similar_word_in_Spanish	Translation_in_Portuguese	Translation_in_Spanish	Comments
motivated	adjective	yes	yes	yes	no	no	no	motivado	motivado	motivado	motivado	
dairy	noun	no	no	no	yes	yes	yes	diário	diario	laticínios	lechería	
associated	adjective	yes	yes	yes	no	no	no	associado	asociado	associado	asociado	
costume	noun	no	no	no	yes	yes	yes	costume	costumbre	fantasia 	disfraz	
academic	adjetive	yes	yes	yes	no	no	no	acadêmico	académico	acadêmico	académico	
convict	noun	no	yes	no	yes	no	yes	convicto	convicto	condenado	convicto	
contest	noun	no	no	yes	yes	yes	no	contestar	contestar	concurso	concurso	
confident	adjective	no	yes	no	yes	no	yes	confidente	confidente	confiante	confidente	
sensibility	noun	yes	yes	yes	no	no	no	sensibilidade	sensibilidad	sensibilidade	sensibilidad	
system	noun	yes	yes	yes	no	no	no	sistema	sistema	sistema	sistema	
college	noun	no	yes	yes	yes	no	no	colégio	colegio	faculdade	colegio	
university	noun	yes	yes	yes	no	no	no	universidade	universidad	universidade	universidad	
camp	noun	no	no	yes	yes	yes	no	campo	campo	acampamento	campamento	
pacific	adjective	yes	yes	yes	no	no	no	pacífico	pacífico	pacífico	pacífico	
bond	noun	no	no	no	yes	yes	yes	bonde	bondad	elo	enlace	
available	noun	no	no	yes	yes	yes	no	avaliável	avalado	disponível 	disponible	
responsible	adjective	yes	yes	yes	no	no	no	responsável	responsable	responsável	responsble	
attend	verb	no	no	yes	yes	yes	no	atender	atender	assistir	asistir	
basic	adjective	yes	yes	yes	no	no	no	básico	básico	básico	básico	
vehicle	noun	yes	yes	yes	no	no	no	veículo	vehículo	veículo	vehículo	
red	adjective	no	no	yes	yes	yes	no	rede	red	vermelho	rojo	
letter	noun	no	no	yes	yes	yes	no	letra	letra	carta	carta	But letter in the sense of letter of the alphabet is a true cognate
anthem	noun	no	no	yes	yes	yes	no	antena	antena	hino	himno	
scholar	noun	no	no	no	yes	yes	no	escolar	escolar	estudioso	erudito	
retired	noun	no	yes	no	yes	no	yes	retirar	retirado	aposentado 	retirado	
novel	noun	no	yes	no	yes	no	yes	novela	novela	romance	novela	
medicine	noun	no	yes	yes	yes	no	yes	medicina	medicina	remédio	medicina	
lunch	noun	no	no	yes	yes	yes	no	lanche	lancha	almoço	almuerzo	
net	noun	no	no	yes	yes	yes	no	neto	neto	rede	red	
drug	noun	yes	yes	yes	no	no	no	droga	droga	droga	droga	
junk	noun	no	no	yes	yes	yes	no	junco	junco	tranqueira	basura	
policy	noun	no	no	yes	yes	yes	no	polícia	policía	política	política	
notice	verb	no	no	yes	yes	yes	no	notícia	noticia	aviso	aviso	
pasta	noun	no	yes	no	yes	no	yes	pasta	pasta	macarrão	pasta	
maul	verb	no	no	no	yes	yes	yes	mau	maula	atacar	atacar	
dogma	noun	yes	yes	yes	no	no	no	dogma	dogma	dogma	dogma	
prejudice	noun	no	yes	no	yes	no	yes	prejuizo	prejuicio	preconceito	prejuicio	
office	noun	no	yes	no	yes	no	yes	ofício	oficio	escritório	oficina	
flange	noun	yes	no	no	no	no	no	flange	flanco	flange	pestaña	
flank	noun	yes	yes	yes	no	no	no	flanco	flanco	flanco	flanco	
trace	verb	yes	yes	yes	no	no	no	traçar	trazar	traçar	trazar	
inhabitable	adjective	no	no	yes	yes	yes	no	inabitável	inhabitado	habitável	habitable	
journal	noun	no	no	yes	yes	yes	no	jornal	jornal	diário	diário	
exquisite	adjective	no	yes	no	yes	no	yes	esquisito	exquisito	requintado	exquisito	
push	verb	no	no	yes	yes	yes	no	puxar	puso	empurrar	empujar	
lecture	noun	no	no	no	yes	yes	yes	leitura	lectura	palestra	conferencia 	
fill	verb	no	no	no	yes	yes	no	fila	fila	preencher	llenar	
condiment	noun	yes	yes	yes	no	no	no	condimento	condimento	condimento 	condimento	aderezo may be more common in SP
augment	verb	yes	yes	yes	no	no	no	aumentar	aumentar	aumento 	aumento	
brink	noun	no	no	no	yes	yes	yes	brinco	brinco	beira	borde	
cup	noun	no	yes	no	Yes	No	Yes	copa	copa	taça 	copa	It's a true cognate in the football cup sense
project	noun	yes	yes	yes	no	no	no	projeto	proyecto	projeto 	proyecto	
embarrassed	adjective	no	no	no	yes	yes	yes	embaraçada	embarazada	envergonhada	avergonzada	
confusion	noun	yes	yes	yes	no	no	no	confusão	confusión	confusão	confusión	
preference	noun	yes	yes	yes	no	no	no	preferência	preferencia	preferência	preferencia	
date	noun	yes	no	no	yes	yes	yes	data	dato	data 	fecha	
gaffe	noun	yes	no	no	no	Yes	no	gafe	gafa	gafe	estupidez	
gracious	adjective	yes	no	no	no	yes	yes	gracioso	gracioso	gracioso	indulgente	
panel	noun	yes	yes	yes	no	no	no	painel	panel	painel	panel	
cable	noun	no	yes	no	yes	no	yes	cabelo	cable	fio	cable	
priority	noun	yes	yes	yes	no	no	no	prioridade	prioridad	prioridade	prioridad	
integral	adjective	no	no	yes	yes	yes	no	integral	integral	vital	vital	
vital	adjective	yes	yes	yes	no	no	no	vital	vital	vital	vital	
fatal	adjective	yes	yes	yes	no	no	no	fatal	fatal	fatal	fatal	
origin	noun	yes	yes	yes	no	no	no	origem	origen	origem	origen	
card	noun	yes	no	no	no	yes	yes	cartão	cartón	cartão	tarjeta	
vista	noun	yes	yes	yes	no	no	no	vista	vista	vista	vista	
scenario	noun	yes	yes	yes	no	no	no	cenário	escenario	cenário	escenario	
stage												
