word,pos,wl,freq_per_million
adhesive,nn1,8,1.593482438
adidas,np0,6,1.014034279
adjective,nn1,9,5.538187216
adjectives,nn2,10,5.415611644
adjournment,nn1,11,2.228646767
adjudication,nn1,12,3.019816369
adjudicator,nn1,11,1.058607214
adjunct,nn1,7,1.682628309
adjustment,nn1,10,15.21051418
adjustments,nn2,11,7.510539605
adjutant,nn1,8,1.136609851
administration,nn0,14,71.80699883
administrations,nn2,15,2.529514081
administrator,nn1,13,7.477109903
administrators,nn2,14,8.647149456
admiral,nn1,7,3.866702141
admiral,np0,7,3.54354836
admiralty,nn0,9,3.086675772
admiration,nn1,10,10.56378568
admirer,nn1,7,2.629803185
admirers,nn2,8,2.774665225
admissibility,nn1,13,1.10318015
admission,nn1,9,22.79905643
admission,nn1-np0,9,1.950065921
admissions,nn2,10,5.727622191
admit,nn1-vvb,5,1.77177418
admits,nn2-vvz,6,2.384652041
adobe,np0,5,1.749487712
adolescence,nn1,11,4.479580002
adolescents,nn2,11,3.48783219
adolf,np0,5,1.582339205
adoption,nn1,8,16.21340523
adoration,nn1,9,1.604625672
adorno,nn1-np0,6,1.560052737
adorno,np0,6,1.114323384
adrenalin,nn1,9,2.919527265
adrian,np0,6,9.104022043
adriatic,np0,8,1.660341841
adsorption,nn1,10,1.04746398
adulation,nn1,9,1.125466617
adult,nn1,5,21.92988419
adultery,nn1,8,3.164678409
adulthood,nn1,9,3.287253981
adults,nn2,6,34.85603544
advance,nn1,7,35.01204071
advance,nn1-vvb,7,2.841524628
advancement,nn1,11,5.527043982
advances,nn2,8,11.04294473
advances,nn2-vvz,8,2.796951693
advantage,nn1,9,77.91349098
advantages,nn2,10,31.41277618
advent,nn1,6,7.666544879
adventure,nn1,9,15.97939732
adventurer,nn1,10,1.270328657
adventurers,nn2,11,5.02559846
adventures,nn2,10,5.538187216
adversaries,nn2,11,1.236898956
adversary,nn1,9,2.741235523
adversity,nn1,9,1.704914777
advert,nn1,6,2.774665225
advertisement,nn1,13,11.8564008
advertisements,nn2,14,10.93151239
advertisers,nn2,11,3.019816369
advertising,nn1,11,29.77472081
advertising,nn1-vvg,11,12.99301065
adverts,nn2,7,2.685519354
advice,nn1,6,108.8248216
advise,nn1-vvb,6,1.259185423
adviser,nn1,7,15.28851682
adviser,nn1-np0,7,1.259185423
advisers,nn2,8,18.98807046
advisor,nn1,7,1.994638856
advisors,nn2,8,1.794060647
advisory,np0,8,1.571195971
advocacy,nn1,8,3.966991245
advocate,nn1,8,4.457293534
advocates,nn2,9,4.568725872
aegean,np0,6,2.139500896
aegis,nn1,5,1.548909503
aerobics,nn1,8,1.136609851
aerobics,nn2,8,1.716058011
aerodrome,nn1,9,1.404047463
aeroplane,nn1,9,4.791590549
aeroplanes,nn2,10,2.496084379
aerosol,nn1,7,1.359474528
aerospace,nn1,9,1.950065921
aerospace,nn1-np0,9,3.766413036
aerospace,np0,9,1.426333931
aesthetics,nn1,10,1.114323384
aesthetics,nn2,10,1.704914777
aetiology,nn1,9,1.326044826
affair,nn1,6,35.78092384
affairs,nn2,7,79.32868167
affect,nn1,6,1.548909503
affect,nn1-vvb,6,3.10896224
affection,nn1,9,14.99879274
affections,nn2,10,2.317792638
affects,nn2-vvz,7,1.883206518
affidavit,nn1,9,2.81923816
affiliation,nn1,11,2.652089653
affiliations,nn2,12,2.997529902
affinities,nn2,10,2.117214429
affinity,nn1,8,7.309961396
affirmation,nn1,11,2.351222339
affliction,nn1,10,1.225755722
affluence,nn1,9,2.206360299
affront,nn1,7,1.604625672
afghanistan,np0,11,7.365677565
africa,np0,6,84.17598839
africans,nn2,8,5.605046619
aftermath,nn1,9,7.566255774
afternoon,nn1,9,76.67659202
afternoons,nn2,10,5.092457863
afterthought,nn1,12,1.660341841
agatha,np0,6,2.284362936
ageing,nn1,6,1.19232602
ageing,nn1-vvg,6,3.019816369
ageism,nn1,6,1.326044826
agencies,nn2,8,39.23532633
agency,nn0,6,17.79574443
agency,nn1,6,45.29724554
agenda,nn1,6,20.28068558
agenda,nn1-np0,6,1.014034279
agendas,nn2,7,1.493193334
agent,nn1,5,46.26670688
agents,nn2,6,39.87049066
aggie,nn1-np0,5,1.10318015
aggie,np0,5,2.629803185
aggravation,nn1,11,1.381760996
aggregate,nn1,9,1.983495623
aggregates,nn2,10,2.262076469
aggregation,nn1,11,2.707805822
aggression,nn1,10,13.24930503
aggressor,nn1,9,1.158896319
agility,nn1,7,1.671485075
agitation,nn1,9,5.315322539
agnes,np0,5,9.85061871
agnew,np0,5,1.972352389
agony,nn1,5,9.895191646
agreement,nn1,9,136.8834844
agreement,nn1-np0,9,4.524152937
agreement,np0,9,1.448620399
agreements,nn2,10,28.69382713
agriculture,nn1,11,41.35254076
agrippa,np0,7,1.938922687
ahmad,np0,5,1.62691214
ahmed,np0,5,3.576978061
aides,nn2,5,2.418081742
ailments,nn2,8,2.217503533
airbus,nn1,6,1.805203881
aircraft,nn0,8,66.39138719
airdrie,np0,7,1.615768906
aires,np0,5,2.184073832
airfield,nn1,8,5.883627465
airfields,nn2,9,2.139500896
airframe,nn1,8,1.292615125
airing,nn1,6,1.170039553
airline,nn1,7,11.31038234
airliner,nn1,8,1.994638856
airlines,nn2,8,9.739186372
airmen,nn2,6,1.638055374
airport,nn1,7,24.21424712
airport,np0,7,6.050775972
airports,nn2,8,4.390434131
airspace,nn1,8,1.147753085
airway,nn1,6,1.136609851
airways,nn2,7,6.061919206
airways,np0,7,1.526623035
aisle,nn1,5,4.624442042
aisles,nn2,6,2.117214429
aitken,nn1-np0,6,1.281471891
aitken,np0,6,1.615768906
akbar,np0,5,1.114323384
alabama,np0,7,1.560052737
alain,np0,5,4.869593186
alarm,nn1,5,18.69834638
alarm,nn1-vvb,5,3.877845375
alarms,nn2,6,2.406938508
alarms,nn2-vvz,6,1.025177513
alaska,np0,6,3.053246071
alastair,np0,8,2.58523025
albania,np0,7,5.215033435
albanians,nn2,9,2.15064413
albans,np0,6,2.640946419
albany,np0,6,1.326044826
albert,np0,6,23.34507488
alberta,np0,7,1.025177513
alberto,np0,7,1.638055374
albion,nn1-np0,6,1.33718806
albion,np0,6,1.270328657
album,nn1,5,22.44247294
albumin,nn1,7,2.373508807
albums,nn2,6,4.780447315
alcohol,nn1,7,32.12594315
alcoholics,nn2,10,1.404047463
alcoholism,nn1,10,2.507227613
alcove,nn1,6,1.4820501
alderley,np0,8,1.080893682
aldershot,np0,9,1.838633583
aldington,np0,9,1.314901593
aldridge,np0,8,1.682628309
aleksandr,np0,9,1.114323384
alert,nn1-vvb,5,1.036320747
alexander,np0,9,27.86922782
alexandra,nn1-np0,9,2.863811096
alexandra,np0,9,7.454823436
alexandria,np0,10,2.306649404
alexei,np0,6,7.599685476
alexis,nn1-np0,6,1.10318015
alfonso,np0,7,1.10318015
alfred,np0,6,13.4053103
algae,nn2,5,6.373929754
algebra,nn1,7,1.582339205
algeria,np0,7,5.54933045
algiers,np0,7,2.406938508
algorithm,nn1,9,5.939343634
algorithms,nn2,10,2.551800548
alibi,nn1,5,1.849776817
alice,np0,5,25.40657314
alida,np0,5,1.348331294
alien,nn1,5,1.381760996
alienation,nn1,10,4.256715325
aliens,nn2,6,3.510118658
alignment,nn1,9,4.334717962
alignments,nn2,10,1.504336568
alison,nn1-np0,6,1.370617762
alison,np0,6,12.46927866
alistair,np0,8,2.317792638
alkali,nn1,6,2.406938508
allan,np0,5,11.35495528
allegation,nn1,10,4.089566817
allegations,nn2,11,19.13293249
allegiance,nn1,10,7.332247863
allegiances,nn2,11,1.236898956
allegory,nn1,8,2.050355026
allen,np0,5,19.2666513
allergies,nn2,9,1.259185423
allergy,nn1,7,2.184073832
alley,nn1,5,4.96988229
alley,np0,5,1.470906866
alleys,nn2,6,2.117214429
alleyway,nn1,8,2.083784727
alleyways,nn2,9,1.203469254
alliance,nn1,8,31.53535175
alliance,nn1-np0,8,1.838633583
alliance,np0,8,1.036320747
alliances,nn2,9,6.084205674
allied,np0,6,3.900131842
allies,nn2,6,17.26086921
allison,np0,7,2.707805822
allitt,np0,6,1.092036916
allocation,nn1,10,18.10775498
allocations,nn2,11,4.368147663
allotment,nn1,9,2.763521991
allotments,nn2,10,1.348331294
allowance,nn1,9,21.58444394
allowances,nn2,10,12.42470573
alloy,nn1,5,3.153535175
alloys,nn2,6,1.181182787
allusion,nn1,8,1.649198608
allusions,nn2,9,1.236898956
almond,nn1,6,2.094927961
almonds,nn2,7,2.373508807
alpha,nn1,5,1.994638856
alpha,nn1-np0,5,3.877845375
alpha,np0,5,6.262497415
alphabet,nn1,8,2.796951693
alresford,np0,9,1.270328657
altar,nn1,5,9.694613437
altars,nn2,6,1.025177513
altdorf,np0,7,1.002891045
alter,nn1-vvb,5,1.136609851
alteration,nn1,10,6.429645923
alterations,nn2,11,8.80315473
alternation,nn1,11,1.125466617
alternative,nn1,11,22.42018648
alternatives,nn2,12,17.65088239
althusser,nn1-np0,9,2.117214429
althusser,np0,9,2.67437612
altitude,nn1,8,5.137030798
altitudes,nn2,9,1.370617762
alton,np0,5,6.574507963
altruism,nn1,8,1.838633583
aluminium,nn1,9,10.02891045
alumni,nn2,6,1.638055374
alyssia,np0,7,3.131248708
alzheimer,np0,9,2.172930598
amalgam,nn1,7,1.470906866
amalgamation,nn1,12,2.362365573
amanda,nn1-np0,6,1.682628309
amanda,np0,6,4.21214239
amaranth,np0,8,1.782917414
amateur,nn1,7,1.972352389
amateurs,nn2,8,3.54354836
amazement,nn1,9,5.527043982
amazon,nn1-np0,6,2.975243434
ambassador,nn1,10,10.63064508
ambassador,np0,10,1.002891045
ambassadors,nn2,11,2.73009229
amber,nn1,5,1.292615125
ambience,nn1,8,2.128357663
ambiguities,nn2,11,2.418081742
ambiguity,nn1,9,9.148594979
ambit,nn1,5,1.994638856
ambition,nn1,8,14.38591488
ambitions,nn2,9,10.90922592
ambivalence,nn1,11,2.496084379
ambleside,np0,9,1.10318015
ambrose,np0,7,1.905492986
ambulance,nn1,9,15.31080329
ambulance,np0,9,1.270328657
ambulances,nn2,10,1.459763632
ambush,nn1,6,2.083784727
amdahl,np0,6,1.470906866
amelia,np0,6,1.938922687
amendment,nn1,9,11.34381204
amendment,nn1-np0,9,1.805203881
amendment,np0,9,1.080893682
amendments,nn2,10,9.360316421
amends,nn2,6,2.161787364
amenities,nn2,9,5.460184579
amenity,nn1,7,2.685519354
america,np0,7,108.5908137
american,nn1,8,2.863811096
american,np0,8,1.493193334
americans,nn2,9,29.81929374
americas,np0,8,10.16262926
amersham,np0,8,1.437477165
amino,nn1,5,6.295927117
amiss,np0,5,2.997529902
amman,np0,5,1.292615125
ammonia,nn1,7,3.677267166
ammonium,nn1,8,1.036320747
ammunition,nn1,10,6.451932391
amnesia,nn1,7,1.125466617
amnesty,nn1,7,5.170460499
amnesty,nn1-np0,7,3.354113384
amnesty,np0,7,3.599264529
amount,nn1,6,124.4476355
amount,nn1-vvb,6,23.44536399
amounts,nn2,7,24.74912235
amounts,nn2-vvz,7,3.966991245
amphibians,nn2,10,1.671485075
amphitheatre,nn1,12,1.19232602
amplification,nn1,13,3.242681046
amplifier,nn1,9,3.365256618
amplifiers,nn2,10,1.4820501
amplitude,nn1,9,4.033850648
amsterdam,np0,9,9.260027317
amstrad,np0,7,2.206360299
amusement,nn1,9,10.54149921
anabelle,np0,8,1.359474528
anachronism,nn1,11,1.136609851
anaemia,nn1,7,3.822129205
anaesthesia,nn1,11,1.704914777
anaesthetic,nn1,11,1.33718806
analogies,nn2,9,1.827490349
analogue,nn1,8,5.014455226
analogues,nn2,9,1.147753085
analogy,nn1,7,9.750329606
analyser,nn1,8,1.805203881
analyses,nn2,8,9.282313785
analyses,nn2-vvz,8,1.738344478
analysis,nn1,8,144.4720267
analyst,nn1,7,6.36278652
analyst,nn1-vvb,7,1.593482438
analysts,nn2,8,9.092878809
analysts,nn2-vvz,8,2.061498259
anarchist,nn1,9,1.270328657
anarchy,nn1,7,2.618659951
anathema,nn1,8,1.593482438
anatoly,np0,7,1.158896319
anatomy,nn1,7,4.836163484
ancestor,nn1,8,3.766413036
ancestors,nn2,9,9.884048412
ancestry,nn1,8,2.451511444
anchor,nn1,6,4.836163484
anchorage,nn1,9,1.092036916
anders,np0,6,1.10318015
andersen,np0,8,1.727201244
anderson,nn1-np0,8,2.29550617
anderson,np0,8,13.94018553
andes,np0,5,2.44036821
andr&eacute,nn1-np0,11,1.33718806
andr&eacute,np0,11,1.548909503
andre,np0,5,1.62691214
andrea,np0,6,2.451511444
andreas,np0,7,1.515479802
andrei,np0,6,2.083784727
andrew,np0,6,45.0520944
andrews,np0,7,8.669435924
androids,nn2,8,1.24804219
andrus,np0,6,1.615768906
anecdote,nn1,8,1.827490349
anecdotes,nn2,9,2.050355026
anfield,nn1-np0,7,1.548909503
anfield,np0,7,2.239790001
angalo,np0,6,2.81923816
angel,nn1,5,10.94265563
angel,nn1-np0,5,2.696662588
angel,np0,5,2.696662588
angela,nn1-np0,6,1.727201244
angela,np0,6,8.323995675
angeles,np0,7,12.06812224
angelica,np0,8,1.24804219
angels,nn2,6,7.833693386
anger,nn1,5,31.30134384
anger,nn1-np0,5,1.33718806
anger,nn1-vvb,5,8.145703933
angie,np0,5,1.19232602
angina,nn1,6,1.10318015
angle,nn1,5,23.7462313
angler,nn1,6,1.927779453
anglers,nn2,7,5.047884927
angles,nn2,6,12.43584896
anglesey,np0,8,1.537766269
anglia,np0,6,8.468857715
anglicans,nn2,9,1.426333931
angling,nn1,7,1.927779453
