sentence_nr;word_nr;word;word_no_pct
31;8;stand;stand
31;9;nearby.;nearby
32;1;The;The
32;2;girl;girl
32;3;walked;walked
32;4;through;through
32;5;a;a
32;6;cobweb;cobweb
32;7;in;in
32;8;the;the
32;9;attic.;attic
33;1;Kenny;Kenny
33;2;liked;liked
33;3;the;the
33;4;ice;ice
33;5;cream;cream
33;6;sundae;sundae
33;7;at;at
33;8;the;the
33;9;local;local
33;10;diner.;diner
34;1;A;A
34;2;rare;rare
34;3;find,;find
34;4;the;the
34;5;antique;antique
34;6;teapot;teapot
34;7;is;is
34;8;worth;worth
34;9;a;a
34;10;lot.;lot
35;1;To;To
35;2;enter;enter
35;3;the;the
35;4;code,;code
35;5;use;use
35;6;the;the
35;7;keypad;keypad
35;8;at;at
35;9;the;the
35;10;door.;door
36;1;Many;Many
36;2;politicians;politicians
36;3;have;have
36;4;denounced;denounced
36;5;payday;payday
36;6;loans;loans
36;7;as;as
36;8;dangerous;dangerous
36;9;to;to
36;10;consumers.;consumers
37;1;The;The
37;2;smell;smell
37;3;of;of
37;4;catnip;catnip
37;5;is;is
37;6;very;very
37;7;attractive;attractive
37;8;to;to
37;9;cats.;cats
38;1;In;In
38;2;British;British
38;3;cuisine;cuisine
38;4;the;the
38;5;potpie;potpie
38;6;is;is
38;7;considered;considered
38;8;a;a
38;9;delicacy.;delicacy
39;1;John;John
39;2;went;went
39;3;out;out
39;4;for;for
39;5;tenpin;tenpin
39;6;bowling;bowling
39;7;last;last
39;8;night.;night
40;1;John;John
40;2;could;could
40;3;not;not
40;4;find;find
40;5;anyone;anyone
40;6;who;who
40;7;would;would
40;8;help;help
40;9;him.;him
41;1;In;In
41;2;crashes;crashes
41;3;an;an
41;4;airbag;airbag
41;5;can;can
41;6;prevent;prevent
41;7;the;the
41;8;driver;driver
41;9;from;from
41;10;injury.;injury
42;1;Jack;Jack
42;2;loved;loved
42;3;the;the
42;4;jigsaw;jigsaw
42;5;puzzle;puzzle
42;6;he;he
42;7;got;got
42;8;for;for
42;9;his;his
42;10;birthday.;birthday
43;1;Everyone;Everyone
43;2;scattered;scattered
43;3;as;as
43;4;the;the
43;5;infamous;infamous
43;6;cowboy;cowboy
43;7;drew;drew
43;8;his;his
43;9;gun.;gun
44;1;The;The
44;2;beef;beef
44;3;cutlet;cutlet
44;4;is;is
44;5;one;one
44;6;of;of
44;7;the;the
44;8;restaurant's;restaurant
44;9;signature;signature
44;10;dishes.;dishes
45;1;John;John
45;2;cannot;cannot
45;3;eat;eat
45;4;a;a
45;5;single;single
45;6;peanut;peanut
45;7;without;without
45;8;risking;risking
45;9;a;a
45;10;rash.;rash
46;1;The;The
46;2;woman;woman
46;3;knew;knew
46;4;her;her
46;5;lovely;lovely
46;6;suntan;suntan
46;7;would;would
46;8;impress;impress
46;9;her;her
46;10;friends.;friends
47;1;They;They
47;2;knew;knew
47;3;that;that
47;4;the;the
47;5;mainland;mainland
47;6;could;could
47;7;not;not
47;8;be;be
47;9;far;far
47;10;away.;away
48;1;It;It
48;2;was;was
48;3;the;the
48;4;computer;computer
48;5;software;software
48;6;the;the
48;7;teenager;teenager
48;8;resented;resented
48;9;paying;paying
48;10;for.;for
49;1;The;The
49;2;designer;designer
49;3;shop;shop
49;4;sold;sold
49;5;expensive;expensive
49;6;knitwear;knitwear
49;7;that;that
49;8;was;was
49;9;very;very
49;10;popular.;popular
50;1;The;The
50;2;books;books
50;3;were;were
50;4;quite;quite
50;5;highbrow;highbrow
50;6;and;and
50;7;difficult;difficult
50;8;to;to
50;9;understand.;understand
51;1;The;The
51;2;old;old
51;3;salesman's;salesman
51;4;battered;battered
51;5;passport;passport
51;6;had;had
51;7;been;been
51;8;stamped;stamped
51;9;many;many
51;10;times.;times
52;1;Everyone;Everyone
52;2;joined;joined
52;3;in;in
52;4;a;a
52;5;tremendous;tremendous
52;6;singsong;singsong
52;7;around;around
52;8;the;the
52;9;piano.;piano
53;1;The;The
53;2;police;police
53;3;knew;knew
53;4;the;the
53;5;dangerous;dangerous
53;6;madman;madman
53;7;could;could
53;8;be;be
53;9;violent.;violent
54;1;All;All
54;2;the;the
54;3;players;players
54;4;enjoyed;enjoyed
54;5;the;the
54;6;softball;softball
54;7;game;game
54;8;in;in
54;9;the;the
54;10;park.;park
55;1;They;They
55;2;knew;knew
55;3;the;the
55;4;electrical;electrical
55;5;output;output
55;6;would;would
55;7;meet;meet
55;8;the;the
55;9;requirements.;requirements
56;1;With;With
56;2;great;great
56;3;care;care
56;4;he;he
56;5;picked;picked
56;6;up;up
56;7;the;the
56;8;blowpipe;blowpipe
56;9;and;and
56;10;aimed.;aimed
57;1;Very;Very
57;2;quietly;quietly
57;3;they;they
57;4;watched;watched
57;5;the;the
57;6;elusive;elusive
57;7;wildlife;wildlife
57;8;using;using
57;9;powerful;powerful
57;10;binoculars.;binoculars
58;1;The;The
58;2;man;man
58;3;was;was
58;4;an;an
58;5;important;important
58;6;bigwig;bigwig
58;7;in;in
58;8;his;his
58;9;field.;field
59;1;Very;Very
59;2;quickly;quickly
59;3;the;the
59;4;mainsail;mainsail
59;5;unfurled;unfurled
59;6;and;and
59;7;thrust;thrust
59;8;the;the
59;9;yacht;yacht
59;10;forward.;forward
60;1;He;He
60;2;quickly;quickly
60;3;used;used
60;4;the;the
60;5;plastic;plastic
60;6;ramrod;ramrod
60;7;to;to
60;8;unblock;unblock
60;9;the;the
60;10;drains.;drains
61;1;Far;Far
61;2;below,;below
61;3;the;the
61;4;bright;bright
61;5;runway;runway
61;6;was;was
61;7;visible;visible
61;8;to;to
61;9;the;the
61;10;pilot.;pilot
62;1;The;The
62;2;journalists;journalists
62;3;worried;worried
62;4;about;about
62;5;the;the
62;6;impending;impending
62;7;deadline;deadline
62;8;for;for
62;9;their;their
62;10;stories.;stories
63;1;John;John
63;2;often;often
63;3;used;used
63;4;the;the
63;5;specialized;specialized
63;6;darkroom;darkroom
63;7;to;to
63;8;develop;develop
63;9;his;his
63;10;photos.;photos
64;1;She;She
64;2;knew;knew
64;3;that;that
64;4;the;the
64;5;informative;informative
64;6;cookbook;cookbook
64;7;would;would
64;8;contain;contain
64;9;the;the
64;10;recipe.;recipe
65;1;Very;Very
65;2;carefully;carefully
65;3;he;he
65;4;guided;guided
65;5;the;the
65;6;lengthy;lengthy
65;7;sailboat;sailboat
65;8;into;into
65;9;the;the
65;10;harbor.;harbor
66;1;Everyone;Everyone
66;2;knew;knew
66;3;the;the
66;4;frustrating;frustrating
66;5;deadlock;deadlock
66;6;would;would
66;7;lead;lead
66;8;to;to
66;9;violence.;violence
67;1;The;The
67;2;woman;woman
67;3;read;read
67;4;the;the
67;5;headline;headline
67;6;with;with
67;7;a;a
67;8;sense;sense
67;9;of;of
67;10;dread.;dread
68;1;The;The
68;2;tourists;tourists
68;3;enjoyed;enjoyed
68;4;the;the
68;5;beautiful;beautiful
68;6;highland;highland
68;7;scenery;scenery
68;8;during;during
68;9;the;the
68;10;visit.;visit
69;1;The;The
69;2;girl;girl
69;3;wore;wore
69;4;her;her
69;5;favorite;favorite
69;6;swimsuit;swimsuit
69;7;at;at
69;8;the;the
69;9;pool.;pool
70;1;The;The
70;2;woman;woman
70;3;had;had
70;4;made;made
70;5;a;a
70;6;beautiful;beautiful
70;7;hotpot;hotpot
70;8;for;for
70;9;the;the
70;10;guests.;guests
71;1;In;In
71;2;the;the
71;3;frantic;frantic
71;4;workshop;workshop
71;5;the;the
71;6;engineer;engineer
71;7;was;was
71;8;very;very
71;9;busy.;busy
72;1;The;The
72;2;mother;mother
72;3;particularly;particularly
72;4;liked;liked
72;5;the;the
72;6;delightful;delightful
72;7;snapshot;snapshot
72;8;of;of
72;9;her;her
72;10;daughter.;daughter
73;1;The;The
73;2;youngster;youngster
73;3;enjoyed;enjoyed
73;4;the;the
73;5;crunchy;crunchy
73;6;flapjack;flapjack
73;7;his;his
73;8;mother;mother
73;9;had;had
73;10;made.;made
74;1;The;The
74;2;mountains;mountains
74;3;provided;provided
74;4;a;a
74;5;picturesque;picturesque
74;6;backdrop;backdrop
74;7;for;for
74;8;the;the
74;9;film;film
74;10;scene.;scene
75;1;After;After
75;2;several;several
75;3;days;days
75;4;the;the
75;5;impressive;impressive
75;6;borehole;borehole
75;7;was;was
75;8;sufficiently;sufficiently
75;9;deep.;deep
76;1;The;The
76;2;man;man
76;3;bought;bought
76;4;tools;tools
76;5;from;from
76;6;the;the
76;7;hardware;hardware
76;8;store;store
76;9;in;in
76;10;town.;town
77;1;The;The
77;2;woman;woman
77;3;hated;hated
77;4;clearing;clearing
77;5;the;the
77;6;bindweed;bindweed
77;7;from;from
77;8;her;her
77;9;rose;rose
77;10;garden.;garden
78;1;The;The
78;2;man;man
78;3;struggled;struggled
78;4;with;with
78;5;the;the
78;6;massive;massive
78;7;dumbbell;dumbbell
78;8;in;in
78;9;the;the
78;10;gym.;gym
79;1;The;The
79;2;student;student
79;3;misremembered;misremembered
79;4;his;his
79;5;password;password
79;6;and;and
79;7;could;could
79;8;not;not
79;9;log;log
79;10;on.;on
80;1;The;The
80;2;Christmas;Christmas
80;3;rush;rush
80;4;meant;meant
80;5;increased;increased
80;6;overtime;overtime
80;7;payments;payments
80;8;to;to
80;9;the;the
80;10;workers.;workers
81;1;From;From
81;2;the;the
81;3;plane;plane
81;4;they;they
81;5;saw;saw
81;6;the;the
81;7;icecap;icecap
81;8;many;many
81;9;meters;meters
81;10;below.;below
82;1;The;The
82;2;man;man
82;3;knew;knew
82;4;his;his
82;5;powerful;powerful
82;6;backhand;backhand
82;7;was;was
82;8;his;his
82;9;best;best
82;10;shot.;shot
