sentence_nr;word_nr;word;word_no_pct
152;6;anyone;anyone
152;7;could;could
152;8;survive;survive
152;9;without;without
152;10;literature.;literature
153;1;The;The
153;2;dangerous;dangerous
153;3;political;political
153;4;situation;situation
153;5;forced;forced
153;6;many;many
153;7;activists;activists
153;8;to;to
153;9;emigrate.;emigrate
154;1;She;She
154;2;is;is
154;3;the;the
154;4;author;author
154;5;of;of
154;6;several;several
154;7;successful;successful
154;8;biology;biology
154;9;textbooks.;textbooks
